name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,7K9Z3yFNNLv5kwTjQYGjnu,2020-07-27,76,145610,0.691,0.0164,0.814,0.0,0.366,0.509,-3.788,0.117,132.012,1,4
Whatever It Takes,Evolve,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,2017-06-23,80,201240,0.672,0.0362,0.655,0.0,0.117,0.556,-5.021,0.0311,134.945,10,4
WANNABE,It'z Me,ITZY,6tCssnvTUREcperDOUTqvA,2020-03-09,34,191242,0.809,0.00795,0.911,0.000179,0.181,0.64,-4.41,0.0617,122.035,6,4
Cash Me Out,4 Walls - The 4th Album,f(x),6KmaTvFBNvM5ZVUHxP1Sr9,2015-10-27,31,201552,0.772,0.109,0.863,0.0,0.111,0.829,-3.817,0.0959,129.976,6,4
Next Level,Next Level,aespa,2zrhoHlFKxFTRF5aMyxMoQ,2021-05-17,76,221573,0.82,0.488,0.852,5.94e-06,0.0907,0.82,-2.567,0.166,109.036,11,4
avalanche,avalanche,Christian French,1RlmAzI27AlIpvoRN3u6Iy,2021-06-25,65,199512,0.636,0.0314,0.864,0.0,0.102,0.892,-3.919,0.0491,160.009,11,4
Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,5zFglKYiknIxks8geR8rcL,2021-06-11,83,227395,0.713,0.0377,0.676,0.0,0.154,0.721,-5.483,0.027,99.048,10,4
LOCO,CRAZY IN LOVE,ITZY,5b8FtevTVz8xVF6E208xeV,2021-09-24,39,191462,0.764,0.0109,0.886,2.21e-05,0.325,0.497,-3.067,0.177,102.012,1,4
Beautiful Night,Midnight Sun,Beast,3NlzcNh6rPwP0FAVXgt8rG,2012-07-22,48,218566,0.652,0.0441,0.941,0.0,0.317,0.685,-1.957,0.0564,123.03,10,4
Savage,Savage - The 1st Mini Album,aespa,3dbLT62Cvs46Ju7a8gpr36,2021-10-05,76,238143,0.727,0.124,0.879,1.17e-05,0.244,0.671,-1.167,0.129,146.959,9,4
THE BADDEST,THE BADDEST,K/DA,2V4Fx72svQRxrFvNT1eq5f,2020-08-27,69,162600,0.676,0.0215,0.857,0.0,0.254,0.717,-4.368,0.0438,149.981,10,4
Black Mamba,Black Mamba,aespa,1t2qYCAjUAoGfeFeoBlK51,2020-11-17,74,174933,0.52,0.0618,0.915,0.000946,0.0856,0.5,-2.862,0.103,90.069,2,4
Killing Me,Killing Me,CHUNG HA,3QD0Y1tTngihByjdWC99lG,2021-11-29,64,164053,0.722,0.35,0.851,0.0,0.0661,0.763,-2.589,0.264,122.012,10,4
CROWN,The Dream Chapter: STAR,TOMORROW X TOGETHER,0EmYZZ8OqeALedVhijSjsg,2019-03-04,66,230706,0.623,0.0497,0.8,0.0,0.0619,0.58,-5.819,0.0424,110.979,5,4
Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,3ebXMykcMXOcLeJ9xZ17XH,2017-01-27,77,220883,0.584,0.0895,0.54,0.0,0.261,0.195,-7.786,0.0576,137.972,1,4
Next Level,Next Level,aespa,2zrhoHlFKxFTRF5aMyxMoQ,2021-05-17,76,221573,0.82,0.488,0.852,5.94e-06,0.0907,0.82,-2.567,0.166,109.036,11,4
